FireIncidentAddress,FireIncidentAlarmDateTime,FireIncidentApparatusApparatus,FireIncidentApparatusClearTime,FireIncidentApparatusDispatchTime,FireIncidentApparatusEnrouteTime,FireIncidentArrivalDateTime,FireIncidentIncidentType,FireIncidentShift,FireIncidentStation,
"46.8444460000000000, -96.8418970000000000",02/15/2017 16:19:31,802,02/15/2017 16:41:01,02/15/2017 16:21:28,02/15/2017 16:22:28,02/15/2017 16:26:56,Extrication of victim(s) from ve,B Shift,Fargo Station 2,
670 4 AVE N,02/15/2017 16:21:38,BATT1,02/15/2017 16:24:29,02/15/2017 16:24:22,,02/15/2017 16:26:11,"Alarm system activation, no fire",B Shift,Fargo Station 1,
670 4 AVE N,02/15/2017 16:21:38,TRUCK1,02/15/2017 16:24:32,02/15/2017 16:24:22,,02/15/2017 16:26:11,"Alarm system activation, no fire",B Shift,Fargo Station 1,
670 4 AVE N,02/15/2017 16:21:38,807,02/15/2017 16:24:27,02/15/2017 16:24:22,,02/15/2017 16:26:11,"Alarm system activation, no fire",B Shift,Fargo Station 1,
670 4 AVE N,02/15/2017 16:21:38,804,02/15/2017 16:24:26,02/15/2017 16:24:22,,02/15/2017 16:26:11,"Alarm system activation, no fire",B Shift,Fargo Station 1,
670 4 AVE N,02/15/2017 16:21:38,801,02/15/2017 16:37:09,02/15/2017 16:22:30,02/15/2017 16:22:59,02/15/2017 16:26:11,"Alarm system activation, no fire",B Shift,Fargo Station 1,
101 2 ST S,02/15/2017 16:54:48,801,02/15/2017 17:09:01,02/15/2017 16:55:18,02/15/2017 16:55:52,02/15/2017 17:01:36,EMS Cancelled on Arrival,B Shift,Fargo Station 1,
801 17 AVE N,02/15/2017 17:05:44,803,02/15/2017 17:40:08,02/15/2017 17:06:48,02/15/2017 17:07:51,02/15/2017 17:08:30,"EMS call, excluding vehicle acci",B Shift,Fargo Station 3,
4543 MONTEGO AVE S,02/15/2017 17:42:21,805,02/15/2017 18:00:24,02/15/2017 17:43:38,02/15/2017 17:44:45,02/15/2017 17:48:28,"EMS call, excluding vehicle acci",B Shift,Fargo Station 5,
633 1 AVE N,02/15/2017 21:40:00,801,02/15/2017 21:53:38,02/15/2017 21:41:20,02/15/2017 21:42:10,02/15/2017 21:43:18,"EMS call, excluding vehicle acci",B Shift,Fargo Station 1,
"46.8473450000000000, -96.8223060000000000",02/15/2017 21:40:44,BATT2,02/15/2017 21:47:11,02/15/2017 21:42:59,02/15/2017 21:43:44,02/15/2017 21:46:50,"Steam, vapor, fog or dust though",B Shift,Fargo Station 2,
"46.8473450000000000, -96.8223060000000000",02/15/2017 21:40:44,TRUCK1,02/15/2017 21:47:14,02/15/2017 21:42:59,02/15/2017 21:44:46,02/15/2017 21:46:50,"Steam, vapor, fog or dust though",B Shift,Fargo Station 2,
"46.8473450000000000, -96.8223060000000000",02/15/2017 21:40:44,805,02/15/2017 21:47:12,02/15/2017 21:42:59,02/15/2017 21:44:14,02/15/2017 21:46:50,"Steam, vapor, fog or dust though",B Shift,Fargo Station 2,
"46.8473450000000000, -96.8223060000000000",02/15/2017 21:40:44,802,02/15/2017 21:49:36,02/15/2017 21:42:59,02/15/2017 21:43:57,02/15/2017 21:46:50,"Steam, vapor, fog or dust though",B Shift,Fargo Station 2,
26 ROBERTS ST N,02/15/2017 22:48:52,801,02/15/2017 23:03:52,02/15/2017 22:49:47,02/15/2017 22:50:41,02/15/2017 22:51:48,"EMS call, excluding vehicle acci",B Shift,Fargo Station 1,
4406 44 AVE S,02/15/2017 23:54:13,807,02/16/2017 00:11:42,02/15/2017 23:57:32,02/15/2017 23:58:45,02/16/2017 00:03:05,Welfare Check,B Shift,Fargo Station 7,
917 16 ST N,02/16/2017 00:44:53,BATT1,02/16/2017 01:25:55,02/16/2017 00:45:48,02/16/2017 00:46:47,02/16/2017 00:51:38,Alarm system sounded due to malf,B Shift,Fargo Station 1,
917 16 ST N,02/16/2017 00:44:53,TRUCK1,02/16/2017 01:01:16,02/16/2017 00:45:48,02/16/2017 00:47:21,02/16/2017 00:51:38,Alarm system sounded due to malf,B Shift,Fargo Station 1,
917 16 ST N,02/16/2017 00:44:53,805,02/16/2017 01:01:22,02/16/2017 00:45:48,02/16/2017 00:47:12,02/16/2017 00:51:38,Alarm system sounded due to malf,B Shift,Fargo Station 1,
917 16 ST N,02/16/2017 00:44:53,804,02/16/2017 01:01:16,02/16/2017 00:45:48,02/16/2017 00:47:45,02/16/2017 00:51:38,Alarm system sounded due to malf,B Shift,Fargo Station 1,
917 16 ST N,02/16/2017 00:44:53,803,02/16/2017 01:04:26,02/16/2017 00:45:48,02/16/2017 00:47:32,02/16/2017 00:51:38,Alarm system sounded due to malf,B Shift,Fargo Station 1,
917 16 ST N,02/16/2017 00:44:53,801,02/16/2017 01:26:04,02/16/2017 00:45:48,02/16/2017 00:47:01,02/16/2017 00:51:38,Alarm system sounded due to malf,B Shift,Fargo Station 1,
2460 18 ST S,02/16/2017 04:02:55,802,02/16/2017 04:18:34,02/16/2017 04:03:35,02/16/2017 04:04:58,02/16/2017 04:07:39,"EMS call, excluding vehicle acci",B Shift,Fargo Station 2,
2525 BROADWAY N,02/16/2017 06:02:49,803,02/16/2017 06:27:19,02/16/2017 06:03:33,02/16/2017 06:05:06,02/16/2017 06:07:02,"EMS call, excluding vehicle acci",B Shift,Fargo Station 3,
2540 18 ST S,02/16/2017 11:42:05,BATT1,02/16/2017 11:50:25,02/16/2017 11:44:15,02/16/2017 11:44:51,02/16/2017 11:47:29,Smoke or odor removal,A Shift,Fargo Station 2,
2540 18 ST S,02/16/2017 11:42:05,TRUCK2,02/16/2017 11:50:39,02/16/2017 11:45:25,02/16/2017 11:45:31,02/16/2017 11:47:29,Smoke or odor removal,A Shift,Fargo Station 2,
2540 18 ST S,02/16/2017 11:42:05,TRUCK1,02/16/2017 11:45:30,02/16/2017 11:44:15,,02/16/2017 11:47:29,Smoke or odor removal,A Shift,Fargo Station 2,
2540 18 ST S,02/16/2017 11:42:05,807,02/16/2017 11:51:27,02/16/2017 11:44:15,02/16/2017 11:45:00,02/16/2017 11:47:29,Smoke or odor removal,A Shift,Fargo Station 2,
2540 18 ST S,02/16/2017 11:42:05,804,02/16/2017 11:50:26,02/16/2017 11:44:15,02/16/2017 11:45:14,02/16/2017 11:47:29,Smoke or odor removal,A Shift,Fargo Station 2,
2540 18 ST S,02/16/2017 11:42:05,802,02/16/2017 11:58:51,02/16/2017 11:44:15,02/16/2017 11:45:13,02/16/2017 11:47:29,Smoke or odor removal,A Shift,Fargo Station 2,
2540 18 ST S,02/16/2017 11:42:05,801,02/16/2017 11:50:24,02/16/2017 11:44:15,02/16/2017 11:45:23,02/16/2017 11:47:29,Smoke or odor removal,A Shift,Fargo Station 2,
4837 AMBER VALLEY PKWY S,02/16/2017 11:45:22,805,02/16/2017 11:55:06,02/16/2017 11:46:58,02/16/2017 11:47:30,,Emergency Medical cancelled en r,A Shift,Fargo Station 7,
719 7 ST N,02/16/2017 11:46:49,TRUCK1,02/16/2017 11:58:25,02/16/2017 11:50:14,02/16/2017 11:51:13,02/16/2017 11:56:28,EMS Cancelled on Arrival,A Shift,Fargo Station 1,
1445 WEST GATEWAY CIR S,02/16/2017 12:21:58,BATT1,02/16/2017 12:39:44,02/16/2017 12:23:11,02/16/2017 12:24:36,02/16/2017 12:28:07,Building fire,A Shift,Fargo Station 4,
1445 WEST GATEWAY CIR S,02/16/2017 12:21:58,TRUCK1,02/16/2017 12:31:17,02/16/2017 12:23:11,02/16/2017 12:23:37,02/16/2017 12:28:07,Building fire,A Shift,Fargo Station 4,
1445 WEST GATEWAY CIR S,02/16/2017 12:21:58,805,02/16/2017 13:11:07,02/16/2017 12:23:11,02/16/2017 12:24:05,02/16/2017 12:28:07,Building fire,A Shift,Fargo Station 4,
1445 WEST GATEWAY CIR S,02/16/2017 12:21:58,804,02/16/2017 12:38:32,02/16/2017 12:23:11,02/16/2017 12:24:09,02/16/2017 12:28:07,Building fire,A Shift,Fargo Station 4,
1445 WEST GATEWAY CIR S,02/16/2017 12:21:58,802,02/16/2017 13:11:41,02/16/2017 12:23:11,02/16/2017 12:24:08,02/16/2017 12:28:07,Building fire,A Shift,Fargo Station 4,
1445 WEST GATEWAY CIR S,02/16/2017 12:21:58,801,02/16/2017 12:38:33,02/16/2017 12:23:11,02/16/2017 12:24:23,02/16/2017 12:28:07,Building fire,A Shift,Fargo Station 4,
2913 8 ST N,02/16/2017 13:01:48,803,02/16/2017 13:14:43,02/16/2017 13:02:37,02/16/2017 13:03:30,02/16/2017 13:05:33,"EMS call, excluding vehicle acci",A Shift,Fargo Station 3,
 19 AVE N /  BROADWAY N,02/16/2017 13:55:21,803,02/16/2017 14:38:16,02/16/2017 13:58:08,02/16/2017 13:58:16,02/16/2017 14:05:53,Motor vehicle accident with no i,A Shift,Fargo Station 3,
 19 AVE N /  BROADWAY N,02/16/2017 13:55:21,801,02/16/2017 13:58:13,02/16/2017 13:57:17,,02/16/2017 14:05:53,Motor vehicle accident with no i,A Shift,Fargo Station 3,
414 11 ST N,02/16/2017 15:44:31,TRUCK1,02/16/2017 15:51:00,02/16/2017 15:44:31,02/16/2017 15:45:19,02/16/2017 15:45:59,EMS Cancelled on Arrival,A Shift,Fargo Station 1,
414 11 ST N,02/16/2017 15:44:31,803,02/16/2017 15:45:20,02/16/2017 15:45:19,,02/16/2017 15:45:59,EMS Cancelled on Arrival,A Shift,Fargo Station 1,
3000 32 AVE S,02/16/2017 15:49:11,BATT2,02/16/2017 15:55:21,02/16/2017 15:50:31,02/16/2017 15:51:34,02/16/2017 15:53:00,"Central station, malicious false",A Shift,Fargo Station 2,
3000 32 AVE S,02/16/2017 15:49:11,TRUCK2,02/16/2017 15:56:32,02/16/2017 15:50:31,02/16/2017 15:51:03,02/16/2017 15:53:00,"Central station, malicious false",A Shift,Fargo Station 2,
3000 32 AVE S,02/16/2017 15:49:11,806,02/16/2017 15:55:00,02/16/2017 15:50:31,02/16/2017 15:51:47,02/16/2017 15:53:00,"Central station, malicious false",A Shift,Fargo Station 2,
3000 32 AVE S,02/16/2017 15:49:11,805,02/16/2017 15:56:26,02/16/2017 15:50:31,02/16/2017 15:51:27,02/16/2017 15:53:00,"Central station, malicious false",A Shift,Fargo Station 2,
3000 32 AVE S,02/16/2017 15:49:11,803,02/16/2017 15:51:34,02/16/2017 15:50:31,,02/16/2017 15:53:00,"Central station, malicious false",A Shift,Fargo Station 2,
3000 32 AVE S,02/16/2017 15:49:11,802,02/16/2017 15:56:50,02/16/2017 15:50:31,02/16/2017 15:51:30,02/16/2017 15:53:00,"Central station, malicious false",A Shift,Fargo Station 2,
3000 32 AVE S,02/16/2017 15:49:11,801,02/16/2017 15:56:24,02/16/2017 15:51:34,02/16/2017 15:54:40,02/16/2017 15:53:00,"Central station, malicious false",A Shift,Fargo Station 2,
201 UNIVERSITY DR S,02/16/2017 15:53:49,BATT1,02/16/2017 16:00:22,02/16/2017 15:54:30,02/16/2017 15:55:50,02/16/2017 15:57:29,"Smoke detector activation, no fi",A Shift,Fargo Station 1,
201 UNIVERSITY DR S,02/16/2017 15:53:49,TRUCK1,02/16/2017 16:06:16,02/16/2017 15:54:30,02/16/2017 15:55:00,02/16/2017 15:57:29,"Smoke detector activation, no fi",A Shift,Fargo Station 1,
201 UNIVERSITY DR S,02/16/2017 15:53:49,807,02/16/2017 16:00:19,02/16/2017 15:54:30,02/16/2017 15:55:00,02/16/2017 15:57:29,"Smoke detector activation, no fi",A Shift,Fargo Station 1,
201 UNIVERSITY DR S,02/16/2017 15:53:49,804,02/16/2017 16:00:17,02/16/2017 15:56:58,02/16/2017 15:57:18,02/16/2017 15:57:29,"Smoke detector activation, no fi",A Shift,Fargo Station 1,
201 UNIVERSITY DR S,02/16/2017 15:53:49,803,02/16/2017 16:00:08,02/16/2017 15:54:30,02/16/2017 15:55:38,02/16/2017 15:57:29,"Smoke detector activation, no fi",A Shift,Fargo Station 1,
 12 AVE N /  38 ST N,02/16/2017 16:43:36,806,02/16/2017 17:10:26,02/16/2017 16:45:59,02/16/2017 16:46:57,02/16/2017 16:51:09,"Vehicle accident, general cleanu",A Shift,Fargo Station 6,
 7 AVE N /  BROADWAY N,02/16/2017 17:00:55,801,02/16/2017 17:15:20,02/16/2017 17:02:34,02/16/2017 17:03:18,02/16/2017 17:09:13,No incident found on arrival at,A Shift,Fargo Station 1,
921 11 AVE N,02/16/2017 17:22:45,801,02/16/2017 17:38:20,02/16/2017 17:25:06,02/16/2017 17:25:41,02/16/2017 17:29:17,"Medical assist, assist EMS crew",A Shift,Fargo Station 1,
2701 32 AVE S,02/16/2017 18:37:05,BATT2,02/16/2017 18:45:41,02/16/2017 18:37:33,02/16/2017 18:39:14,02/16/2017 18:40:13,Building fire,A Shift,Fargo Station 2,
2701 32 AVE S,02/16/2017 18:37:05,TRUCK2,02/16/2017 18:44:17,02/16/2017 18:37:33,02/16/2017 18:38:04,02/16/2017 18:40:13,Building fire,A Shift,Fargo Station 2,
2701 32 AVE S,02/16/2017 18:37:05,807,02/16/2017 18:45:25,02/16/2017 18:37:33,02/16/2017 18:37:56,02/16/2017 18:40:13,Building fire,A Shift,Fargo Station 2,
2701 32 AVE S,02/16/2017 18:37:05,805,02/16/2017 18:44:18,02/16/2017 18:37:33,02/16/2017 18:38:27,02/16/2017 18:40:13,Building fire,A Shift,Fargo Station 2,
2701 32 AVE S,02/16/2017 18:37:05,804,02/16/2017 18:45:41,02/16/2017 18:37:33,02/16/2017 18:38:20,02/16/2017 18:40:13,Building fire,A Shift,Fargo Station 2,
2701 32 AVE S,02/16/2017 18:37:05,802,02/16/2017 19:00:47,02/16/2017 18:37:33,02/16/2017 18:38:39,02/16/2017 18:40:13,Building fire,A Shift,Fargo Station 2,
2400 32 AVE S,02/16/2017 19:14:27,BATT2,02/16/2017 19:22:06,02/16/2017 19:15:36,02/16/2017 19:17:19,02/16/2017 19:17:41,"Smoke detector activation, no fi",A Shift,Fargo Station 2,
2400 32 AVE S,02/16/2017 19:14:27,TRUCK2,02/16/2017 19:22:02,02/16/2017 19:15:36,02/16/2017 19:17:01,02/16/2017 19:17:41,"Smoke detector activation, no fi",A Shift,Fargo Station 2,
2400 32 AVE S,02/16/2017 19:14:27,807,02/16/2017 19:22:06,02/16/2017 19:15:36,02/16/2017 19:16:00,02/16/2017 19:17:41,"Smoke detector activation, no fi",A Shift,Fargo Station 2,
2400 32 AVE S,02/16/2017 19:14:27,805,02/16/2017 19:21:56,02/16/2017 19:15:36,02/16/2017 19:16:25,02/16/2017 19:17:41,"Smoke detector activation, no fi",A Shift,Fargo Station 2,
2400 32 AVE S,02/16/2017 19:14:27,804,02/16/2017 19:21:58,02/16/2017 19:15:36,02/16/2017 19:16:27,02/16/2017 19:17:41,"Smoke detector activation, no fi",A Shift,Fargo Station 2,
2400 32 AVE S,02/16/2017 19:14:27,802,02/16/2017 19:27:29,02/16/2017 19:15:36,02/16/2017 19:16:35,02/16/2017 19:17:41,"Smoke detector activation, no fi",A Shift,Fargo Station 2,
1148 9 ST N,02/16/2017 20:10:46,801,02/16/2017 20:45:28,02/16/2017 20:11:54,02/16/2017 20:12:32,02/16/2017 20:16:26,"EMS call, excluding vehicle acci",A Shift,Fargo Station 1,
712 23 ST S,02/16/2017 20:16:10,804,02/16/2017 20:35:02,02/16/2017 20:17:56,02/16/2017 20:18:41,02/16/2017 20:21:32,"EMS call, excluding vehicle acci",A Shift,Fargo Station 4,
414 11 ST N,02/16/2017 20:48:39,801,02/16/2017 21:14:26,02/16/2017 20:50:27,02/16/2017 20:50:52,02/16/2017 20:52:53,"EMS call, excluding vehicle acci",A Shift,Fargo Station 1,
3534 UNIVERSITY DR S,02/16/2017 20:59:27,802,02/16/2017 21:13:06,02/16/2017 21:04:35,02/16/2017 21:05:03,,Emergency Medical cancelled en r,A Shift,Fargo Station 2,
414 11 ST N,02/16/2017 21:06:36,804,02/16/2017 21:09:06,02/16/2017 21:07:39,02/16/2017 21:08:27,02/16/2017 21:14:31,"EMS call, excluding vehicle acci",A Shift,Fargo Station 1,
414 11 ST N,02/16/2017 21:06:36,801,02/16/2017 21:24:12,02/16/2017 21:14:29,02/16/2017 21:14:30,02/16/2017 21:14:31,"EMS call, excluding vehicle acci",A Shift,Fargo Station 1,
1519 1 AVE S,02/16/2017 21:14:42,804,02/16/2017 21:28:23,02/16/2017 21:15:46,02/16/2017 21:16:38,02/16/2017 21:19:33,"Medical assist, assist EMS crew",A Shift,Fargo Station 4,
609 3 ST N,02/16/2017 21:58:35,801,02/16/2017 22:14:08,02/16/2017 22:00:05,02/16/2017 22:00:52,02/16/2017 22:03:51,"EMS call, excluding vehicle acci",A Shift,Fargo Station 1,
4720 TIMBER PKWY S,02/16/2017 22:14:56,807,02/16/2017 22:45:57,02/16/2017 22:19:03,02/16/2017 22:21:40,02/16/2017 22:27:49,"Medical assist, assist EMS crew",A Shift,Fargo Station 8,
3256 18 ST S,02/16/2017 23:40:00,802,02/16/2017 23:54:04,02/16/2017 23:40:10,02/16/2017 23:41:25,02/16/2017 23:44:42,"EMS call, excluding vehicle acci",A Shift,Fargo Station 2,
1801 18 ST S,02/17/2017 01:53:13,802,02/17/2017 02:14:12,02/17/2017 01:54:13,02/17/2017 01:55:32,02/17/2017 02:00:17,"Medical assist, assist EMS crew",A Shift,Fargo Station 2,
1201 UNIVERSITY DR N,02/17/2017 02:22:37,801,02/17/2017 02:36:27,02/17/2017 02:26:34,02/17/2017 02:28:01,02/17/2017 02:31:45,"Medical assist, assist EMS crew",A Shift,Fargo Station 1,
3800 MAIN AVE,02/17/2017 02:42:14,805,02/17/2017 02:46:10,02/17/2017 02:43:33,02/17/2017 02:44:42,,Emergency Medical cancelled en r,A Shift,Fargo Station 5,
1519 1 AVE S,02/17/2017 03:04:21,804,02/17/2017 03:07:33,02/17/2017 03:05:25,02/17/2017 03:06:37,,Emergency Medical cancelled en r,A Shift,Fargo Station 4,
4101 13 AVE S,02/17/2017 04:04:19,BATT2,02/17/2017 04:34:44,02/17/2017 04:04:57,02/17/2017 04:06:40,02/17/2017 04:07:41,"Smoke scare, odor of smoke",A Shift,Fargo Station 5,
4101 13 AVE S,02/17/2017 04:04:19,TRUCK1,02/17/2017 04:25:25,02/17/2017 04:04:57,02/17/2017 04:05:37,02/17/2017 04:07:41,"Smoke scare, odor of smoke",A Shift,Fargo Station 5,
4101 13 AVE S,02/17/2017 04:04:19,807,02/17/2017 04:19:53,02/17/2017 04:04:57,02/17/2017 04:05:45,02/17/2017 04:07:41,"Smoke scare, odor of smoke",A Shift,Fargo Station 5,
4101 13 AVE S,02/17/2017 04:04:19,806,02/17/2017 04:19:51,02/17/2017 04:04:57,02/17/2017 04:06:07,02/17/2017 04:07:41,"Smoke scare, odor of smoke",A Shift,Fargo Station 5,
4101 13 AVE S,02/17/2017 04:04:19,805,02/17/2017 04:33:08,02/17/2017 04:04:57,02/17/2017 04:06:03,02/17/2017 04:07:41,"Smoke scare, odor of smoke",A Shift,Fargo Station 5,
4101 13 AVE S,02/17/2017 04:04:19,804,02/17/2017 04:33:47,02/17/2017 04:04:57,02/17/2017 04:06:10,02/17/2017 04:07:41,"Smoke scare, odor of smoke",A Shift,Fargo Station 5,
3434 28 ST S,02/17/2017 04:09:01,802,02/17/2017 04:12:57,02/17/2017 04:10:28,02/17/2017 04:11:46,,Emergency Medical cancelled en r,A Shift,Fargo Station 2,
746 COUNTRYSIDE TRAILER CT S,02/17/2017 05:22:26,804,02/17/2017 05:34:53,02/17/2017 05:23:12,02/17/2017 05:24:11,02/17/2017 05:27:50,"EMS call, excluding vehicle acci",A Shift,Fargo Station 4,
 7 AVE N /  8 ST N,02/17/2017 06:05:29,BATT1,02/17/2017 06:11:09,02/17/2017 06:06:22,,02/17/2017 06:10:26,"Medical assist, assist EMS crew",A Shift,Fargo Station 1,
 7 AVE N /  8 ST N,02/17/2017 06:05:29,TRUCK1,02/17/2017 06:11:05,02/17/2017 06:06:22,02/17/2017 06:06:59,02/17/2017 06:10:26,"Medical assist, assist EMS crew",A Shift,Fargo Station 1,
 7 AVE N /  8 ST N,02/17/2017 06:05:29,803,02/17/2017 06:11:20,02/17/2017 06:06:22,02/17/2017 06:07:27,02/17/2017 06:10:26,"Medical assist, assist EMS crew",A Shift,Fargo Station 1,
 7 AVE N /  8 ST N,02/17/2017 06:05:29,801,02/17/2017 06:20:05,02/17/2017 06:06:22,02/17/2017 06:07:36,02/17/2017 06:10:26,"Medical assist, assist EMS crew",A Shift,Fargo Station 1,
1558 27 AVE S,02/17/2017 07:16:41,802,02/17/2017 07:32:44,02/17/2017 07:17:24,02/17/2017 07:18:04,02/17/2017 07:20:53,"EMS call, excluding vehicle acci",A Shift,Fargo Station 2,
2733 UNIVERSITY DR S,02/17/2017 08:53:53,802,02/17/2017 09:10:57,02/17/2017 08:54:51,02/17/2017 08:55:24,02/17/2017 08:58:40,"EMS call, excluding vehicle acci",C Shift,Fargo Station 2,
1519 1 AVE S,02/17/2017 09:57:50,TRUCK1,02/17/2017 10:16:24,02/17/2017 10:00:54,02/17/2017 10:01:08,02/17/2017 10:04:09,"EMS call, excluding vehicle acci",C Shift,Fargo Station 4,
1519 1 AVE S,02/17/2017 09:57:50,802,02/17/2017 09:59:32,02/17/2017 09:58:43,,02/17/2017 10:04:09,"EMS call, excluding vehicle acci",C Shift,Fargo Station 4,
717 10 AVE N,02/17/2017 10:58:04,802,02/17/2017 11:22:23,02/17/2017 11:00:07,02/17/2017 11:00:14,02/17/2017 11:04:43,"Medical assist, assist EMS crew",C Shift,Fargo Station 1,
717 10 AVE N,02/17/2017 10:58:04,801,02/17/2017 11:00:11,02/17/2017 10:59:10,,02/17/2017 11:04:43,"Medical assist, assist EMS crew",C Shift,Fargo Station 1,
1618 EAST GATEWAY CIR S,02/17/2017 11:53:01,TRUCK1,02/17/2017 12:00:05,02/17/2017 11:56:22,02/17/2017 11:56:46,02/17/2017 11:59:17,"Medical assist, assist EMS crew",C Shift,Fargo Station 4,
1618 EAST GATEWAY CIR S,02/17/2017 11:53:01,804,02/17/2017 12:16:10,02/17/2017 11:54:39,02/17/2017 11:56:09,02/17/2017 11:59:17,"Medical assist, assist EMS crew",C Shift,Fargo Station 4,
201 UNIVERSITY DR S,02/17/2017 12:25:43,802,02/17/2017 12:37:55,02/17/2017 12:26:55,02/17/2017 12:27:05,02/17/2017 12:29:12,Assist invalid,C Shift,Fargo Station 1,
69 4 ST N,02/17/2017 12:40:38,802,02/17/2017 12:42:24,02/17/2017 12:41:49,02/17/2017 12:41:58,02/17/2017 12:47:43,"Medical assist, assist EMS crew",C Shift,Fargo Station 1,
69 4 ST N,02/17/2017 12:40:38,801,02/17/2017 12:52:36,02/17/2017 12:42:37,02/17/2017 12:43:27,02/17/2017 12:47:43,"Medical assist, assist EMS crew",C Shift,Fargo Station 1,
725 42 ST S,02/17/2017 13:21:18,804,02/17/2017 13:42:34,02/17/2017 13:25:56,02/17/2017 13:26:26,02/17/2017 13:31:46,EMS Cancelled on Arrival,C Shift,Fargo Station 5,
 36 AVE S /  54 ST S,02/17/2017 13:28:00,BATT2,02/17/2017 13:48:02,02/17/2017 13:29:51,02/17/2017 13:31:18,02/17/2017 13:33:35,Motor vehicle accident with no i,C Shift,Fargo Station 7,
 36 AVE S /  54 ST S,02/17/2017 13:28:00,TRUCK2,02/17/2017 13:52:25,02/17/2017 13:29:51,02/17/2017 13:30:50,02/17/2017 13:33:35,Motor vehicle accident with no i,C Shift,Fargo Station 7,
 36 AVE S /  54 ST S,02/17/2017 13:28:00,806,02/17/2017 13:35:53,02/17/2017 13:29:51,02/17/2017 13:31:11,02/17/2017 13:33:35,Motor vehicle accident with no i,C Shift,Fargo Station 7,
 36 AVE S /  54 ST S,02/17/2017 13:28:00,802,02/17/2017 13:39:10,02/17/2017 13:29:51,02/17/2017 13:30:52,02/17/2017 13:33:35,Motor vehicle accident with no i,C Shift,Fargo Station 7,
502 NORTHERN PACIFIC AVE N,02/17/2017 13:45:27,801,02/17/2017 13:53:00,02/17/2017 13:46:35,02/17/2017 13:47:09,02/17/2017 13:49:02,"EMS call, excluding vehicle acci",C Shift,Fargo Station 1,
371 PRAIRIEWOOD CIR S,02/17/2017 14:14:24,BATT2,02/17/2017 14:27:25,02/17/2017 14:16:04,02/17/2017 14:17:38,02/17/2017 14:23:02,"Malicious, mischievous false cal",C Shift,Fargo Station 5,
371 PRAIRIEWOOD CIR S,02/17/2017 14:14:24,TRUCK2,02/17/2017 14:17:38,02/17/2017 14:16:04,,02/17/2017 14:23:02,"Malicious, mischievous false cal",C Shift,Fargo Station 5,
371 PRAIRIEWOOD CIR S,02/17/2017 14:14:24,TRUCK1,02/17/2017 14:27:16,02/17/2017 14:17:34,02/17/2017 14:18:37,02/17/2017 14:23:02,"Malicious, mischievous false cal",C Shift,Fargo Station 5,
371 PRAIRIEWOOD CIR S,02/17/2017 14:14:24,806,02/17/2017 14:27:16,02/17/2017 14:16:04,02/17/2017 14:18:56,02/17/2017 14:23:02,"Malicious, mischievous false cal",C Shift,Fargo Station 5,
371 PRAIRIEWOOD CIR S,02/17/2017 14:14:24,804,02/17/2017 14:27:31,02/17/2017 14:16:04,02/17/2017 14:17:29,02/17/2017 14:23:02,"Malicious, mischievous false cal",C Shift,Fargo Station 5,
371 PRAIRIEWOOD CIR S,02/17/2017 14:14:24,802,02/17/2017 14:32:28,02/17/2017 14:16:04,02/17/2017 14:17:15,02/17/2017 14:23:02,"Malicious, mischievous false cal",C Shift,Fargo Station 5,
371 PRAIRIEWOOD CIR S,02/17/2017 14:14:24,801,02/17/2017 14:27:14,02/17/2017 14:16:04,02/17/2017 14:17:06,02/17/2017 14:23:02,"Malicious, mischievous false cal",C Shift,Fargo Station 5,
1725 BROADWAY N,02/17/2017 14:17:25,803,02/17/2017 14:47:52,02/17/2017 14:19:07,02/17/2017 14:19:53,02/17/2017 14:25:40,"Malicious, mischievous false cal",C Shift,Fargo Station 3,
1670 EAST GATEWAY CIR S,02/17/2017 15:22:43,802,02/17/2017 15:34:16,02/17/2017 15:24:00,02/17/2017 15:24:16,02/17/2017 15:27:26,EMS Cancelled on Arrival,C Shift,Fargo Station 4,
2651 WHISPERING CREEK CIR S,02/17/2017 15:57:40,802,02/17/2017 16:18:14,02/17/2017 15:59:13,02/17/2017 16:00:01,02/17/2017 16:07:13,Assist invalid,C Shift,Fargo Station 8,
5300 12 ST S,02/17/2017 16:10:23,BATT2,02/17/2017 16:15:22,02/17/2017 16:11:30,02/17/2017 16:12:24,02/17/2017 16:19:31,"Alarm system activation, no fire",C Shift,Fargo Station 8,
5300 12 ST S,02/17/2017 16:10:23,TRUCK2,02/17/2017 16:15:12,02/17/2017 16:11:30,02/17/2017 16:12:02,02/17/2017 16:19:31,"Alarm system activation, no fire",C Shift,Fargo Station 8,
5300 12 ST S,02/17/2017 16:10:23,807,02/17/2017 16:27:15,02/17/2017 16:11:30,02/17/2017 16:12:19,02/17/2017 16:19:31,"Alarm system activation, no fire",C Shift,Fargo Station 8,
5300 12 ST S,02/17/2017 16:10:23,805,02/17/2017 16:14:54,02/17/2017 16:11:30,02/17/2017 16:12:53,02/17/2017 16:19:31,"Alarm system activation, no fire",C Shift,Fargo Station 8,
5300 12 ST S,02/17/2017 16:10:23,804,02/17/2017 16:15:01,02/17/2017 16:11:30,02/17/2017 16:12:18,02/17/2017 16:19:31,"Alarm system activation, no fire",C Shift,Fargo Station 8,
5300 12 ST S,02/17/2017 16:10:23,801,02/17/2017 16:14:54,02/17/2017 16:11:30,02/17/2017 16:11:49,02/17/2017 16:19:31,"Alarm system activation, no fire",C Shift,Fargo Station 8,
